team_1,team_2,count
ATL,ATL,0
ATL,BKN,1
ATL,BOS,1
ATL,CHA,4
ATL,CHI,0
ATL,CLE,1
ATL,DAL,-2
ATL,DEN,-2
ATL,DET,-2
ATL,GSW,0
ATL,HOU,-2
ATL,IND,1
ATL,LAC,-2
ATL,LAL,0
ATL,MEM,0
ATL,MIA,0
ATL,MIL,1
ATL,MIN,0
ATL,NOP,2
ATL,NYK,-1
ATL,OKC,-2
ATL,ORL,0
ATL,PHI,3
ATL,PHX,0
ATL,POR,-2
ATL,SAC,0
ATL,SAS,-2
ATL,TOR,-1
ATL,UTA,2
ATL,WAS,0
BKN,ATL,-1
BKN,BKN,0
BKN,BOS,-4
BKN,CHA,2
BKN,CHI,-1
BKN,CLE,-4
BKN,DAL,0
BKN,DEN,-2
BKN,DET,-3
BKN,GSW,0
BKN,HOU,2
BKN,IND,-2
BKN,LAC,-2
BKN,LAL,0
BKN,MEM,1
BKN,MIA,-1
BKN,MIL,2
BKN,MIN,-2
BKN,NOP,2
BKN,NYK,-4
BKN,OKC,-2
BKN,ORL,-4
BKN,PHI,0
BKN,PHX,0
BKN,POR,0
BKN,SAC,0
BKN,SAS,-2
BKN,TOR,-2
BKN,UTA,-2
BKN,WAS,-1
BOS,ATL,-1
BOS,BKN,4
BOS,BOS,0
BOS,CHA,4
BOS,CHI,2
BOS,CLE,0
BOS,DAL,0
BOS,DEN,2
BOS,DET,2
BOS,GSW,0
BOS,HOU,0
BOS,IND,-1
BOS,LAC,2
BOS,LAL,0
BOS,MEM,0
BOS,MIA,2
BOS,MIL,3
BOS,MIN,2
BOS,NOP,2
BOS,NYK,4
BOS,OKC,-2
BOS,ORL,-1
BOS,PHI,2
BOS,PHX,2
BOS,POR,2
BOS,SAC,0
BOS,SAS,2
BOS,TOR,2
BOS,UTA,2
BOS,WAS,4
CHA,ATL,-4
CHA,BKN,-2
CHA,BOS,-4
CHA,CHA,0
CHA,CHI,-2
CHA,CLE,-4
CHA,DAL,0
CHA,DEN,-2
CHA,DET,0
CHA,GSW,-2
CHA,HOU,0
CHA,IND,1
CHA,LAC,-2
CHA,LAL,0
CHA,MEM,-2
CHA,MIA,-2
CHA,MIL,-1
CHA,MIN,-2
CHA,NOP,0
CHA,NYK,-1
CHA,OKC,-2
CHA,ORL,-4
CHA,PHI,-4
CHA,PHX,0
CHA,POR,-2
CHA,SAC,-2
CHA,SAS,2
CHA,TOR,-1
CHA,UTA,2
CHA,WAS,-4
CHI,ATL,0
CHI,BKN,1
CHI,BOS,-2
CHI,CHA,2
CHI,CHI,0
CHI,CLE,-4
CHI,DAL,-2
CHI,DEN,2
CHI,DET,-2
CHI,GSW,-2
CHI,HOU,-2
CHI,IND,-2
CHI,LAC,0
CHI,LAL,2
CHI,MEM,0
CHI,MIA,3
CHI,MIL,0
CHI,MIN,-2
CHI,NOP,-2
CHI,NYK,1
CHI,OKC,-2
CHI,ORL,1
CHI,PHI,0
CHI,PHX,-2
CHI,POR,0
CHI,SAC,0
CHI,SAS,2
CHI,TOR,4
CHI,UTA,0
CHI,WAS,2
CLE,ATL,-1
CLE,BKN,4
CLE,BOS,0
CLE,CHA,4
CLE,CHI,4
CLE,CLE,0
CLE,DAL,2
CLE,DEN,2
CLE,DET,2
CLE,GSW,2
CLE,HOU,-2
CLE,IND,-2
CLE,LAC,0
CLE,LAL,2
CLE,MEM,2
CLE,MIA,1
CLE,MIL,4
CLE,MIN,2
CLE,NOP,2
CLE,NYK,4
CLE,OKC,0
CLE,ORL,1
CLE,PHI,1
CLE,PHX,0
CLE,POR,2
CLE,SAC,-2
CLE,SAS,2
CLE,TOR,4
CLE,UTA,2
CLE,WAS,4
DAL,ATL,2
DAL,BKN,0
DAL,BOS,0
DAL,CHA,0
DAL,CHI,2
DAL,CLE,-2
DAL,DAL,0
DAL,DEN,-2
DAL,DET,0
DAL,GSW,0
DAL,HOU,-2
DAL,IND,-2
DAL,LAC,-2
DAL,LAL,-1
DAL,MEM,-2
DAL,MIA,0
DAL,MIL,-2
DAL,MIN,-1
DAL,NOP,2
DAL,NYK,0
DAL,OKC,2
DAL,ORL,2
DAL,PHI,-2
DAL,PHX,-2
DAL,POR,2
DAL,SAC,-3
DAL,SAS,2
DAL,TOR,2
DAL,UTA,1
DAL,WAS,2
DEN,ATL,2
DEN,BKN,2
DEN,BOS,-2
DEN,CHA,2
DEN,CHI,-2
DEN,CLE,-2
DEN,DAL,2
DEN,DEN,0
DEN,DET,2
DEN,GSW,1
DEN,HOU,1
DEN,IND,0
DEN,LAC,0
DEN,LAL,0
DEN,MEM,1
DEN,MIA,2
DEN,MIL,0
DEN,MIN,-4
DEN,NOP,2
DEN,NYK,-2
DEN,OKC,0
DEN,ORL,2
DEN,PHI,2
DEN,PHX,2
DEN,POR,0
DEN,SAC,4
DEN,SAS,-1
DEN,TOR,2
DEN,UTA,4
DEN,WAS,-2
DET,ATL,2
DET,BKN,3
DET,BOS,-2
DET,CHA,0
DET,CHI,2
DET,CLE,-2
DET,DAL,0
DET,DEN,-2
DET,DET,0
DET,GSW,-2
DET,HOU,0
DET,IND,-2
DET,LAC,0
DET,LAL,2
DET,MEM,-2
DET,MIA,2
DET,MIL,-4
DET,MIN,0
DET,NOP,2
DET,NYK,2
DET,OKC,-2
DET,ORL,-1
DET,PHI,1
DET,PHX,0
DET,POR,2
DET,SAC,0
DET,SAS,2
DET,TOR,4
DET,UTA,0
DET,WAS,1
GSW,ATL,0
GSW,BKN,0
GSW,BOS,0
GSW,CHA,2
GSW,CHI,2
GSW,CLE,-2
GSW,DAL,0
GSW,DEN,-1
GSW,DET,2
GSW,GSW,0
GSW,HOU,1
GSW,IND,-2
GSW,LAC,-4
GSW,LAL,-2
GSW,MEM,2
GSW,MIA,-2
GSW,MIL,2
GSW,MIN,2
GSW,NOP,4
GSW,NYK,2
GSW,OKC,1
GSW,ORL,2
GSW,PHI,0
GSW,PHX,0
GSW,POR,3
GSW,SAC,0
GSW,SAS,-1
GSW,TOR,0
GSW,UTA,1
GSW,WAS,2
HOU,ATL,2
HOU,BKN,-2
HOU,BOS,0
HOU,CHA,0
HOU,CHI,2
HOU,CLE,2
HOU,DAL,2
HOU,DEN,-1
HOU,DET,0
HOU,GSW,-1
HOU,HOU,0
HOU,IND,0
HOU,LAC,2
HOU,LAL,-1
HOU,MEM,2
HOU,MIA,0
HOU,MIL,0
HOU,MIN,0
HOU,NOP,4
HOU,NYK,0
HOU,OKC,-1
HOU,ORL,2
HOU,PHI,2
HOU,PHX,3
HOU,POR,1
HOU,SAC,-3
HOU,SAS,2
HOU,TOR,2
HOU,UTA,1
HOU,WAS,2
IND,ATL,-1
IND,BKN,2
IND,BOS,1
IND,CHA,-1
IND,CHI,2
IND,CLE,2
IND,DAL,2
IND,DEN,0
IND,DET,2
IND,GSW,2
IND,HOU,0
IND,IND,0
IND,LAC,2
IND,LAL,-2
IND,MEM,0
IND,MIA,0
IND,MIL,-2
IND,MIN,2
IND,NOP,1
IND,NYK,-1
IND,OKC,-2
IND,ORL,-2
IND,PHI,2
IND,PHX,2
IND,POR,0
IND,SAC,2
IND,SAS,0
IND,TOR,-1
IND,UTA,2
IND,WAS,4
LAC,ATL,2
LAC,BKN,2
LAC,BOS,-2
LAC,CHA,2
LAC,CHI,0
LAC,CLE,0
LAC,DAL,2
LAC,DEN,0
LAC,DET,0
LAC,GSW,4
LAC,HOU,-2
LAC,IND,-2
LAC,LAC,0
LAC,LAL,-2
LAC,MEM,3
LAC,MIA,2
LAC,MIL,0
LAC,MIN,-3
LAC,NOP,1
LAC,NYK,2
LAC,OKC,-4
LAC,ORL,2
LAC,PHI,2
LAC,PHX,-4
LAC,POR,1
LAC,SAC,4
LAC,SAS,2
LAC,TOR,0
LAC,UTA,4
LAC,WAS,2
LAL,ATL,0
LAL,BKN,0
LAL,BOS,0
LAL,CHA,0
LAL,CHI,-2
LAL,CLE,-2
LAL,DAL,1
LAL,DEN,0
LAL,DET,-2
LAL,GSW,2
LAL,HOU,1
LAL,IND,2
LAL,LAC,2
LAL,LAL,0
LAL,MEM,2
LAL,MIA,0
LAL,MIL,-2
LAL,MIN,0
LAL,NOP,3
LAL,NYK,2
LAL,OKC,-1
LAL,ORL,-2
LAL,PHI,0
LAL,PHX,0
LAL,POR,2
LAL,SAC,4
LAL,SAS,2
LAL,TOR,2
LAL,UTA,2
LAL,WAS,2
MEM,ATL,0
MEM,BKN,-1
MEM,BOS,0
MEM,CHA,2
MEM,CHI,0
MEM,CLE,-2
MEM,DAL,2
MEM,DEN,-1
MEM,DET,2
MEM,GSW,-2
MEM,HOU,-2
MEM,IND,0
MEM,LAC,-3
MEM,LAL,-2
MEM,MEM,0
MEM,MIA,2
MEM,MIL,2
MEM,MIN,1
MEM,NOP,4
MEM,NYK,-2
MEM,OKC,-4
MEM,ORL,2
MEM,PHI,2
MEM,PHX,4
MEM,POR,1
MEM,SAC,-1
MEM,SAS,2
MEM,TOR,2
MEM,UTA,4
MEM,WAS,2
MIA,ATL,0
MIA,BKN,1
MIA,BOS,-2
MIA,CHA,2
MIA,CHI,-3
MIA,CLE,-1
MIA,DAL,0
MIA,DEN,-2
MIA,DET,-2
MIA,GSW,2
MIA,HOU,0
MIA,IND,0
MIA,LAC,-2
MIA,LAL,0
MIA,MEM,-2
MIA,MIA,0
MIA,MIL,-4
MIA,MIN,0
MIA,NOP,2
MIA,NYK,-3
MIA,OKC,-2
MIA,ORL,0
MIA,PHI,4
MIA,PHX,0
MIA,POR,0
MIA,SAC,-2
MIA,SAS,2
MIA,TOR,2
MIA,UTA,0
MIA,WAS,2
MIL,ATL,-1
MIL,BKN,-2
MIL,BOS,-3
MIL,CHA,1
MIL,CHI,0
MIL,CLE,-4
MIL,DAL,2
MIL,DEN,0
MIL,DET,4
MIL,GSW,-2
MIL,HOU,0
MIL,IND,2
MIL,LAC,0
MIL,LAL,2
MIL,MEM,-2
MIL,MIA,4
MIL,MIL,0
MIL,MIN,2
MIL,NOP,2
MIL,NYK,-3
MIL,OKC,-1
MIL,ORL,2
MIL,PHI,4
MIL,PHX,0
MIL,POR,-2
MIL,SAC,2
MIL,SAS,0
MIL,TOR,3
MIL,UTA,2
MIL,WAS,3
MIN,ATL,0
MIN,BKN,2
MIN,BOS,-2
MIN,CHA,2
MIN,CHI,2
MIN,CLE,-2
MIN,DAL,1
MIN,DEN,4
MIN,DET,0
MIN,GSW,-2
MIN,HOU,0
MIN,IND,-2
MIN,LAC,3
MIN,LAL,0
MIN,MEM,-1
MIN,MIA,0
MIN,MIL,-2
MIN,MIN,0
MIN,NOP,1
MIN,NYK,0
MIN,OKC,0
MIN,ORL,2
MIN,PHI,2
MIN,PHX,4
MIN,POR,0
MIN,SAC,0
MIN,SAS,2
MIN,TOR,0
MIN,UTA,2
MIN,WAS,0
NOP,ATL,-2
NOP,BKN,-2
NOP,BOS,-2
NOP,CHA,0
NOP,CHI,2
NOP,CLE,-2
NOP,DAL,-2
NOP,DEN,-2
NOP,DET,-2
NOP,GSW,-4
NOP,HOU,-4
NOP,IND,-1
NOP,LAC,-1
NOP,LAL,-3
NOP,MEM,-4
NOP,MIA,-2
NOP,MIL,-2
NOP,MIN,-1
NOP,NOP,0
NOP,NYK,-2
NOP,OKC,-4
NOP,ORL,-2
NOP,PHI,2
NOP,PHX,1
NOP,POR,-2
NOP,SAC,-2
NOP,SAS,0
NOP,TOR,-2
NOP,UTA,3
NOP,WAS,2
NYK,ATL,1
NYK,BKN,4
NYK,BOS,-4
NYK,CHA,1
NYK,CHI,-1
NYK,CLE,-4
NYK,DAL,0
NYK,DEN,2
NYK,DET,-2
NYK,GSW,-2
NYK,HOU,0
NYK,IND,1
NYK,LAC,-2
NYK,LAL,-2
NYK,MEM,2
NYK,MIA,3
NYK,MIL,3
NYK,MIN,0
NYK,NOP,2
NYK,NYK,0
NYK,OKC,-2
NYK,ORL,2
NYK,PHI,4
NYK,PHX,2
NYK,POR,2
NYK,SAC,2
NYK,SAS,0
NYK,TOR,4
NYK,UTA,0
NYK,WAS,4
OKC,ATL,2
OKC,BKN,2
OKC,BOS,2
OKC,CHA,2
OKC,CHI,2
OKC,CLE,0
OKC,DAL,-2
OKC,DEN,0
OKC,DET,2
OKC,GSW,-1
OKC,HOU,1
OKC,IND,2
OKC,LAC,4
OKC,LAL,1
OKC,MEM,4
OKC,MIA,2
OKC,MIL,1
OKC,MIN,0
OKC,NOP,4
OKC,NYK,2
OKC,OKC,0
OKC,ORL,2
OKC,PHI,2
OKC,PHX,3
OKC,POR,4
OKC,SAC,3
OKC,SAS,1
OKC,TOR,2
OKC,UTA,4
OKC,WAS,2
ORL,ATL,0
ORL,BKN,4
ORL,BOS,1
ORL,CHA,4
ORL,CHI,-1
ORL,CLE,-1
ORL,DAL,-2
ORL,DEN,-2
ORL,DET,1
ORL,GSW,-2
ORL,HOU,-2
ORL,IND,2
ORL,LAC,-2
ORL,LAL,2
ORL,MEM,-2
ORL,MIA,0
ORL,MIL,-2
ORL,MIN,-2
ORL,NOP,2
ORL,NYK,-2
ORL,OKC,-2
ORL,ORL,0
ORL,PHI,2
ORL,PHX,2
ORL,POR,-2
ORL,SAC,2
ORL,SAS,2
ORL,TOR,-2
ORL,UTA,-2
ORL,WAS,4
PHI,ATL,-3
PHI,BKN,0
PHI,BOS,-2
PHI,CHA,4
PHI,CHI,0
PHI,CLE,-1
PHI,DAL,2
PHI,DEN,-2
PHI,DET,-1
PHI,GSW,0
PHI,HOU,-2
PHI,IND,-2
PHI,LAC,-2
PHI,LAL,0
PHI,MEM,-2
PHI,MIA,-4
PHI,MIL,-4
PHI,MIN,-2
PHI,NOP,-2
PHI,NYK,-4
PHI,OKC,-2
PHI,ORL,-2
PHI,PHI,0
PHI,PHX,-2
PHI,POR,0
PHI,SAC,0
PHI,SAS,0
PHI,TOR,-4
PHI,UTA,2
PHI,WAS,1
PHX,ATL,0
PHX,BKN,0
PHX,BOS,-2
PHX,CHA,0
PHX,CHI,2
PHX,CLE,0
PHX,DAL,2
PHX,DEN,-2
PHX,DET,0
PHX,GSW,0
PHX,HOU,-3
PHX,IND,-2
PHX,LAC,4
PHX,LAL,0
PHX,MEM,-4
PHX,MIA,0
PHX,MIL,0
PHX,MIN,-4
PHX,NOP,-1
PHX,NYK,-2
PHX,OKC,-3
PHX,ORL,-2
PHX,PHI,2
PHX,PHX,0
PHX,POR,0
PHX,SAC,-2
PHX,SAS,1
PHX,TOR,0
PHX,UTA,4
PHX,WAS,2
POR,ATL,2
POR,BKN,0
POR,BOS,-2
POR,CHA,2
POR,CHI,0
POR,CLE,-2
POR,DAL,-2
POR,DEN,0
POR,DET,-2
POR,GSW,-3
POR,HOU,-1
POR,IND,0
POR,LAC,-1
POR,LAL,-2
POR,MEM,-1
POR,MIA,0
POR,MIL,2
POR,MIN,0
POR,NOP,2
POR,NYK,-2
POR,OKC,-4
POR,ORL,2
POR,PHI,0
POR,PHX,0
POR,POR,0
POR,SAC,0
POR,SAS,-2
POR,TOR,2
POR,UTA,0
POR,WAS,2
SAC,ATL,0
SAC,BKN,0
SAC,BOS,0
SAC,CHA,2
SAC,CHI,0
SAC,CLE,2
SAC,DAL,3
SAC,DEN,-4
SAC,DET,0
SAC,GSW,0
SAC,HOU,3
SAC,IND,-2
SAC,LAC,-4
SAC,LAL,-4
SAC,MEM,1
SAC,MIA,2
SAC,MIL,-2
SAC,MIN,0
SAC,NOP,2
SAC,NYK,-2
SAC,OKC,-3
SAC,ORL,-2
SAC,PHI,0
SAC,PHX,2
SAC,POR,0
SAC,SAC,0
SAC,SAS,0
SAC,TOR,0
SAC,UTA,4
SAC,WAS,0
SAS,ATL,2
SAS,BKN,2
SAS,BOS,-2
SAS,CHA,-2
SAS,CHI,-2
SAS,CLE,-2
SAS,DAL,-2
SAS,DEN,1
SAS,DET,-2
SAS,GSW,1
SAS,HOU,-2
SAS,IND,0
SAS,LAC,-2
SAS,LAL,-2
SAS,MEM,-2
SAS,MIA,-2
SAS,MIL,0
SAS,MIN,-2
SAS,NOP,0
SAS,NYK,0
SAS,OKC,-1
SAS,ORL,-2
SAS,PHI,0
SAS,PHX,-1
SAS,POR,2
SAS,SAC,0
SAS,SAS,0
SAS,TOR,2
SAS,UTA,2
SAS,WAS,2
TOR,ATL,1
TOR,BKN,2
TOR,BOS,-2
TOR,CHA,1
TOR,CHI,-4
TOR,CLE,-4
TOR,DAL,-2
TOR,DEN,-2
TOR,DET,-4
TOR,GSW,0
TOR,HOU,-2
TOR,IND,1
TOR,LAC,0
TOR,LAL,-2
TOR,MEM,-2
TOR,MIA,-2
TOR,MIL,-3
TOR,MIN,0
TOR,NOP,2
TOR,NYK,-4
TOR,OKC,-2
TOR,ORL,2
TOR,PHI,4
TOR,PHX,0
TOR,POR,-2
TOR,SAC,0
TOR,SAS,-2
TOR,TOR,0
TOR,UTA,2
TOR,WAS,2
UTA,ATL,-2
UTA,BKN,2
UTA,BOS,-2
UTA,CHA,-2
UTA,CHI,0
UTA,CLE,-2
UTA,DAL,-1
UTA,DEN,-4
UTA,DET,0
UTA,GSW,-1
UTA,HOU,-1
UTA,IND,-2
UTA,LAC,-4
UTA,LAL,-2
UTA,MEM,-4
UTA,MIA,0
UTA,MIL,-2
UTA,MIN,-2
UTA,NOP,-3
UTA,NYK,0
UTA,OKC,-4
UTA,ORL,2
UTA,PHI,-2
UTA,PHX,-4
UTA,POR,0
UTA,SAC,-4
UTA,SAS,-2
UTA,TOR,-2
UTA,UTA,0
UTA,WAS,0
WAS,ATL,0
WAS,BKN,1
WAS,BOS,-4
WAS,CHA,4
WAS,CHI,-2
WAS,CLE,-4
WAS,DAL,-2
WAS,DEN,2
WAS,DET,-1
WAS,GSW,-2
WAS,HOU,-2
WAS,IND,-4
WAS,LAC,-2
WAS,LAL,-2
WAS,MEM,-2
WAS,MIA,-2
WAS,MIL,-3
WAS,MIN,0
WAS,NOP,-2
WAS,NYK,-4
WAS,OKC,-2
WAS,ORL,-4
WAS,PHI,-1
WAS,PHX,-2
WAS,POR,-2
WAS,SAC,0
WAS,SAS,-2
WAS,TOR,-2
WAS,UTA,0
WAS,WAS,0
